TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
886, BIRCHMOUNT RD , BERTRAND AVE ,08/13/1970,43.735227,-79.279862,12-14-2016,17228,177,2016,Wednesday
887, THE QUEENSWAY , 427 C S QUEENSWAY RAMP ,11/20/1969,43.61501275,-79.55246234,12-15-2011,31020,26,2011,Thursday
888, KIPLING AVE , KINGSVIEW BLVD ,02/26/1970,43.69694,-79.55984,05-19-2015,13903,310,2015,Tuesday
889, ELLESMERE RD , SCARBOROUGH GOLF CLUB RD ,12/16/1969,43.778535,-79.222234,02-27-2016,13183,190,2016,Saturday
890, FINCH AVE W , WILMINGTON AVE ,05/21/1970,43.77027,-79.46071,11-29-2016,16903,698,2016,Tuesday
891, KINGSTON RD , GLEN EVEREST RD ,02/06/1970,43.69778,-79.25658,02-09-2010,10822,349,2010,Tuesday
892, EVANS AVE , THE EAST MALL ,01/01/1967,43.61192,-79.54379,07-30-2013,13636,131,2013,Tuesday
893, BROWNS LINE , EVANS BROWNS LI RAMP ,11/27/1969,43.60906096,-79.54830855,04-04-2017,17551,106,2017,Tuesday
894, DUFFERIN ST , WINGOLD AVE ,01/29/1970,43.70387,-79.45246,04-11-2016,16771,763,2016,Monday
895, BAY ST , YORKVILLE AVE ,08/01/1970,43.67139,-79.39017,10-18-2016,11870,8385,2016,Tuesday
896, BAY ST , DAVENPORT RD ,06/30/1970,43.67309,-79.39084,03-29-2016,15657,1507,2016,Tuesday
897, DON MILLS RD , HAVENBROOK BLVD ,01/01/1965,43.76959,-79.3465,06-18-2013,21973,1176,2013,Tuesday
898, PARKWOODS VILLAGE DR , GISBURN RD ,06/29/1970,43.76016,-79.32201,04-05-2016,11826,800,2016,Tuesday
899, BATHURST ST , CEDARCROFT BLVD ,08/26/1970,43.78394,-79.44553,09-04-2013,24124,1265,2013,Wednesday
900, DUPONT ST , SHAW ST ,10/08/1970,43.6705581,-79.4265976,04-28-2016,11994,867,2016,Thursday
